Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c6a73cd3f68d90b42643eb8b0615935bd9c9d7d0b239ac8114a84bd53ea6edda,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.106911,51.572844,On or near CARLTON ROAD,E01002063,Haringey 036B,Investigation complete; no suspect identified
2d261cde52f1e4b0c438cc0b34a5dbb444d8584853d8fcf8572d4cb61530002a,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.063024,51.561705,On or near NARFORD ROAD,E01001768,Hackney 006D,Investigation complete; no suspect identified
ba980dfd6ea124caa65cf2c4a781a93711d6d145f21ef4ea23dce0a0f6b77aed,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.099235,51.581119,On or near Supermarket,E01002044,Haringey 027B,Investigation complete; no suspect identified
cd1dc2f509e28c21d7e6c2c16d063076c051a3123c60a2140e3b9c404c58f259,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.143486,51.591791,On or near QUEENS LANE,E01001997,Haringey 014D,Local resolution
558f6a1366be38891842b0f46526af660689b9e086d2a439ce3ae12e4724ccb9,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.107899,51.596663,On or near REDVERS ROAD,E01002029,Haringey 016B,Suspect charged
d12ea8acad7a53dbcbeee3cf8509ed12dba919092c1436296219e164b2fa4000,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.060173,51.589032,On or near Parking Area,E01002080,Haringey 015D,Suspect charged
44065d6ce95c44885a6e38488f169a9dea02a873e1ea998443d50a8ffe657a45,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.060173,51.589032,On or near Parking Area,E01002080,Haringey 015D,Suspect charged
0c50a39ff4f47dfd331438c6c225fe730fe5e083c5da2f9a943b3299491523d1,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.122091,51.604031,On or near CORBETT GROVE,E01001970,Haringey 004B,Investigation complete; no suspect identified
7fc2010fc9afd1d2fe6cb0b0611230d94ebbfc9d3b0f70005951ecf833350cb0,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.105100,51.590719,On or near WALDEGRAVE ROAD,E01002031,Haringey 016D,Local resolution
67dd389cd8ed1da62929c28c74726f688985a3d95b4a5c7953f5a9b44e8ee0b2,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.073155,51.578014,On or near HIGH ROAD,E01002051,Haringey 029B,Investigation complete; no suspect identified
c498b503d94a93ab2c8ba1175f9864c70cd9c0bbea60b1acccaa7dd8b74f1283,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.107953,51.594677,On or near Parking Area,E01002026,Haringey 016A,Investigation complete; no suspect identified
80e200cd58229eb63f9aed4ef24ae1150b8f9a838a9f93c76467d14a0595e424,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.098343,51.587264,On or near HARRINGAY ROAD,E01002003,Haringey 023C,Offender given penalty notice
80e200cd58229eb63f9aed4ef24ae1150b8f9a838a9f93c76467d14a0595e424,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.098343,51.587264,On or near HARRINGAY ROAD,E01002003,Haringey 023C,Offender given penalty notice
e2f84f499d727293e481279db25548e6228d1403eba56f4abfbb60087dc24579,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.068893,51.605686,On or near CHAPEL PLACE,E01002034,Haringey 037A,Local resolution
8381f8530db6b3ac7d4302ce7dde9b6cfe9698333886c2b3871764a7fa151353,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.070905,51.595701,On or near FOREST GARDENS,E01001979,Haringey 011D,Investigation complete; no suspect identified
a0d1c8a8e6a616597757e2788fcc3552c695a63476ff8d0240bc1c674d25ba72,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.071396,51.594324,On or near CHAMPA CLOSE,E01001979,Haringey 011D,Local resolution
65e7bb8d7367a35c4c740bac07a0ebd4e4066334152f41b32147b12a1d69391e,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.073155,51.578014,On or near HIGH ROAD,E01002051,Haringey 029B,Suspect charged
0aeb7ce4ca2d690d84e5032aebe73b24dadad5d4c2a4d5a1631e3fc4d1717f84,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.116189,51.602542,On or near FINSBURY ROAD,E01001971,Haringey 001B,Suspect charged
0aeb7ce4ca2d690d84e5032aebe73b24dadad5d4c2a4d5a1631e3fc4d1717f84,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.116189,51.602542,On or near FINSBURY ROAD,E01001971,Haringey 001B,Suspect charged
590e98ca0ce1232aa6211e5ad176b762fc082007a3803cbb32397d954bfb0ce4,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.118700,51.600820,On or near CORNWALL AVENUE,E01001972,Haringey 004C,Suspect charged
3bdbe5622b1dd89765b425ea118e9748ae48df8ec70fc3549ba1ddc2d82e6512,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.119346,51.601262,On or near NORTHCOTT AVENUE,E01001972,Haringey 004C,Suspect charged
27f6d22dfb46131202a71f47f1a861a38466a436719b832dd62915ad3168719f,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.119346,51.601262,On or near NORTHCOTT AVENUE,E01001972,Haringey 004C,Suspect charged
87fc899e8508561a737df709a30ea6ead314b723288a41832f0e3347b019ce4a,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.111503,51.606891,On or near Supermarket,E01001975,Haringey 001D,Suspect charged
a9f282288e42210f6c3d6ce7096322d1d67762d1d8f76fcf7eec7e96c80da379,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.091723,51.584387,On or near ETHERLEY ROAD,E01002043,Haringey 026A,Offender given penalty notice
9f43ec4af07627848ba62575e50d74ea64bda6d92a77d44747d284f55442ccad,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.094455,51.487267,On or near WALWORTH PLACE,E01003973,Southwark 016E,Investigation complete; no suspect identified
590ddbe0584c2d018e2b6700afd079e9b2233afcff2fdfbd449854b17e3da2ca,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.098750,51.498281,On or near Parking Area,E01003927,Southwark 002A,Suspect charged
f5a18e30c8c20f06b99a15aacd4cbc83030cd44666d3b044ada3c454891718c5,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.099988,51.494506,On or near Supermarket,E01032720,Southwark 009F,Local resolution
5428e309fff553a8cdf6870caf20ff9eb14f7d95b03f9a2a057461f06fb3372c,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.049637,51.497555,On or near SURREY QUAYS ROAD,E01004031,Southwark 007B,Investigation complete; no suspect identified
87b48471871cbd1e216460f95049010f6f37a5eefbb7c1d70385892bc8f7312f,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.089245,51.478891,On or near DRAYCOTT CLOSE,E01003925,Southwark 020E,Investigation complete; no suspect identified
